Specimen ID,Specimen,Plate ID,Well ID,Sample, Time,All Abs. Count
1,Specimen1,1,A1,Control_A,10/6/2022__5:30:00 PM,2031
1,Specimen1,1,A2,pH6_A,10/6/2022__5:30:00 PM,2014
1,Specimen1,1,A3,pH7.4_A,10/6/2022__5:30:00 PM,1924
1,Specimen1,1,A4,15C_A,10/6/2022__5:30:00 PM,2394
1,Specimen1,1,A5,30C_A,10/6/2022__5:30:00 PM,1884
1,Specimen1,1,A6,High Iron_A,10/6/2022__5:30:00 PM,3631
1,Specimen1,1,A7,Stagnant_A,10/6/2022__5:30:00 PM,1578
1,Specimen1,1,A8,No vit.min_A,10/6/2022__5:30:00 PM,1360
1,Specimen1,1,B1,Control_B,10/6/2022__5:30:00 PM,2089
1,Specimen1,1,B2,pH6_B,10/6/2022__5:30:00 PM,1698
1,Specimen1,1,B3,pH7.4_B,10/6/2022__5:30:00 PM,1794
1,Specimen1,1,B4,15C_B,10/6/2022__5:30:00 PM,2224
1,Specimen1,1,B5,30C_B,10/6/2022__5:30:00 PM,1768
1,Specimen1,1,B6,High Iron_B,10/6/2022__5:30:00 PM,3404
1,Specimen1,1,B7,Stagnant_B,10/6/2022__5:30:00 PM,1204
1,Specimen1,1,B8,No vit.min_B,10/6/2022__5:30:00 PM,1243
1,Specimen1,1,C1,Control_C,10/6/2022__5:30:00 PM,1570
1,Specimen1,1,C2,pH6_C,10/6/2022__5:30:00 PM,1351
1,Specimen1,1,C3,pH7.4_C,10/6/2022__5:30:00 PM,1534
1,Specimen1,1,C4,15C_C,10/6/2022__5:30:00 PM,1581
1,Specimen1,1,C5,30C_C,10/6/2022__5:30:00 PM,2195
1,Specimen1,1,C6,High Iron_C,10/6/2022__5:30:00 PM,4417
1,Specimen1,1,C7,Stagnant_C,10/6/2022__5:30:00 PM,1096
1,Specimen1,1,C8,No vit.min_C,10/6/2022__5:30:00 PM,1060
1,Specimen1,1,D1,Control_C(1),10/6/2022__5:30:00 PM,92.4
1,Specimen1,1,D2,pH6_C(1),10/6/2022__5:30:00 PM,77.2
1,Specimen1,1,D3,pH7.4_C(1),10/6/2022__5:30:00 PM,81.6
1,Specimen1,1,D4,15C_C(1),10/6/2022__5:30:00 PM,55
1,Specimen1,1,D5,30C_C(1),10/6/2022__5:30:00 PM,89.1
1,Specimen1,1,D6,High Iron_C(1),10/6/2022__5:30:00 PM,40.9
1,Specimen1,1,D7,Stagnant_C(1),10/6/2022__5:30:00 PM,55.7
1,Specimen1,1,D8,No vit.min_C(1),10/6/2022__5:30:00 PM,42.9
2,Specimen2,2,A1,Control_A,10/7/2022__4:04:00 PM,3467
2,Specimen2,2,A2,pH6_A,10/7/2022__4:04:00 PM,2690
2,Specimen2,2,A3,pH7.4_A,10/7/2022__4:04:00 PM,4200
2,Specimen2,2,A4,15C_A,10/7/2022__4:04:00 PM,11464
2,Specimen2,2,A5,30C_A,10/7/2022__4:04:00 PM,29852
2,Specimen2,2,A6,High Iron_A,10/7/2022__4:04:00 PM,5182
2,Specimen2,2,A7,Stagnant_A,10/7/2022__4:04:00 PM,1905
2,Specimen2,2,A8,No vit.min_A,10/7/2022__4:04:00 PM,2458
2,Specimen2,2,B1,Control_B,10/7/2022__4:04:00 PM,3581
2,Specimen2,2,B2,pH6_B,10/7/2022__4:04:00 PM,2650
2,Specimen2,2,B3,pH7.4_B,10/7/2022__4:04:00 PM,5648
2,Specimen2,2,B4,15C_B,10/7/2022__4:04:00 PM,11670
2,Specimen2,2,B5,30C_B,10/7/2022__4:04:00 PM,33606
2,Specimen2,2,B6,High Iron_B,10/7/2022__4:04:00 PM,8777
2,Specimen2,2,B7,Stagnant_B,10/7/2022__4:04:00 PM,1696
2,Specimen2,2,B8,No vit.min_B,10/7/2022__4:04:00 PM,2111
2,Specimen2,2,C1,Control_C,10/7/2022__4:04:00 PM,4099
2,Specimen2,2,C2,pH6_C,10/7/2022__4:04:00 PM,3851
2,Specimen2,2,C3,pH7.4_C,10/7/2022__4:04:00 PM,3235
2,Specimen2,2,C4,15C_C,10/7/2022__4:04:00 PM,10672
2,Specimen2,2,C5,30C_C,10/7/2022__4:04:00 PM,31665
2,Specimen2,2,C6,High Iron_C,10/7/2022__4:04:00 PM,6598
2,Specimen2,2,C7,Stagnant_C,10/7/2022__4:04:00 PM,1998
2,Specimen2,2,C8,No vit.min_C,10/7/2022__4:04:00 PM,2359
2,Specimen2,2,D1,Control_C(1),10/7/2022__4:04:00 PM,37
2,Specimen2,2,D2,pH6_C(1),10/7/2022__4:04:00 PM,44.9
2,Specimen2,2,D3,pH7.4_C(1),10/7/2022__4:04:00 PM,35.6
2,Specimen2,2,D4,15C_C(1),10/7/2022__4:04:00 PM,33.2
2,Specimen2,2,D5,30C_C(1),10/7/2022__4:04:00 PM,19.1
2,Specimen2,2,D6,High Iron_C(1),10/7/2022__4:04:00 PM,1267
2,Specimen2,2,D7,Stagnant_C(1),10/7/2022__4:04:00 PM,35.4
2,Specimen2,2,D8,No vit.min_C(1),10/7/2022__4:04:00 PM,26.6
3,Specimen3,3,A1,Control_A,10/8/2022__3:31:00 PM,26599
3,Specimen3,3,A2,pH6_A,10/8/2022__3:31:00 PM,24309
3,Specimen3,3,A3,pH7.4_A,10/8/2022__3:31:00 PM,22662
3,Specimen3,3,A4,15C_A,10/8/2022__3:31:00 PM,26905
3,Specimen3,3,A5,30C_A,10/8/2022__3:31:00 PM,27742
3,Specimen3,3,A6,High Iron_A,10/8/2022__3:31:00 PM,26103
3,Specimen3,3,A7,Stagnant_A,10/8/2022__3:31:00 PM,4345
3,Specimen3,3,A8,No vit.min_A,10/8/2022__3:31:00 PM,18824
3,Specimen3,3,B1,Control_B,10/8/2022__3:31:00 PM,28206
3,Specimen3,3,B2,pH6_B,10/8/2022__3:31:00 PM,25008
3,Specimen3,3,B3,pH7.4_B,10/8/2022__3:31:00 PM,20878
3,Specimen3,3,B4,15C_B,10/8/2022__3:31:00 PM,28389
3,Specimen3,3,B5,30C_B,10/8/2022__3:31:00 PM,32697
3,Specimen3,3,B6,High Iron_B,10/8/2022__3:31:00 PM,28651
3,Specimen3,3,B7,Stagnant_B,10/8/2022__3:31:00 PM,3470
3,Specimen3,3,B8,No vit.min_B,10/8/2022__3:31:00 PM,19613
3,Specimen3,3,C1,Control_C,10/8/2022__3:31:00 PM,28353
3,Specimen3,3,C2,pH6_C,10/8/2022__3:31:00 PM,23995
3,Specimen3,3,C3,pH7.4_C,10/8/2022__3:31:00 PM,22629
3,Specimen3,3,C4,15C_C,10/8/2022__3:31:00 PM,31057
3,Specimen3,3,C5,30C_C,10/8/2022__3:31:00 PM,28299
3,Specimen3,3,C6,High Iron_C,10/8/2022__3:31:00 PM,26717
3,Specimen3,3,C7,Stagnant_C,10/8/2022__3:31:00 PM,3193
3,Specimen3,3,C8,No vit.min_C,10/8/2022__3:31:00 PM,21116
3,Specimen3,3,D1,Control_C(1),10/8/2022__3:31:00 PM,142
3,Specimen3,3,D2,pH6_C(1),10/8/2022__3:31:00 PM,55.2
3,Specimen3,3,D3,pH7.4_C(1),10/8/2022__3:31:00 PM,45.5
3,Specimen3,3,D4,15C_C(1),10/8/2022__3:31:00 PM,29.9
3,Specimen3,3,D5,30C_C(1),10/8/2022__3:31:00 PM,18.7
3,Specimen3,3,D6,High Iron_C(1),10/8/2022__3:31:00 PM,2390
3,Specimen3,3,D7,Stagnant_C(1),10/8/2022__3:31:00 PM,47.1
3,Specimen3,3,D8,No vit.min_C(1),10/8/2022__3:31:00 PM,30.4
4,Specimen4,4,A1,Control_A,10/9/2022__2:03:00 PM,35783
4,Specimen4,4,A2,pH6_A,10/9/2022__2:03:00 PM,27000
4,Specimen4,4,A3,pH7.4_A,10/9/2022__2:03:00 PM,26216
4,Specimen4,4,A4,15C_A,10/9/2022__2:03:00 PM,33479
4,Specimen4,4,A5,30C_A,10/9/2022__2:03:00 PM,35151
4,Specimen4,4,A6,High Iron_A,10/9/2022__2:03:00 PM,35600
4,Specimen4,4,A7,Stagnant_A,10/9/2022__2:03:00 PM,6145
4,Specimen4,4,A8,No vit.min_A,10/9/2022__2:03:00 PM,24362
4,Specimen4,4,B1,Control_B,10/9/2022__2:03:00 PM,33847
4,Specimen4,4,B2,pH6_B,10/9/2022__2:03:00 PM,31480
4,Specimen4,4,B3,pH7.4_B,10/9/2022__2:03:00 PM,23758
4,Specimen4,4,B4,15C_B,10/9/2022__2:03:00 PM,35737
4,Specimen4,4,B5,30C_B,10/9/2022__2:03:00 PM,39534
4,Specimen4,4,B6,High Iron_B,10/9/2022__2:03:00 PM,33769
4,Specimen4,4,B7,Stagnant_B,10/9/2022__2:03:00 PM,5670
4,Specimen4,4,B8,No vit.min_B,10/9/2022__2:03:00 PM,23402
4,Specimen4,4,C1,Control_C,10/9/2022__2:03:00 PM,33664
4,Specimen4,4,C2,pH6_C,10/9/2022__2:03:00 PM,29787
4,Specimen4,4,C3,pH7.4_C,10/9/2022__2:03:00 PM,25742
4,Specimen4,4,C4,15C_C,10/9/2022__2:03:00 PM,36779
4,Specimen4,4,C5,30C_C,10/9/2022__2:03:00 PM,35155
4,Specimen4,4,C6,High Iron_C,10/9/2022__2:03:00 PM,32685
4,Specimen4,4,C7,Stagnant_C,10/9/2022__2:03:00 PM,5849
4,Specimen4,4,C8,No vit.min_C,10/9/2022__2:03:00 PM,24129
4,Specimen4,4,D1,Control_C(1),10/9/2022__2:03:00 PM,187
4,Specimen4,4,D2,pH6_C(1),10/9/2022__2:03:00 PM,63.1
4,Specimen4,4,D3,pH7.4_C(1),10/9/2022__2:03:00 PM,48.4
4,Specimen4,4,D4,15C_C(1),10/9/2022__2:03:00 PM,42.2
4,Specimen4,4,D5,30C_C(1),10/9/2022__2:03:00 PM,33.2
4,Specimen4,4,D6,High Iron_C(1),10/9/2022__2:03:00 PM,837
4,Specimen4,4,D7,Stagnant_C(1),10/9/2022__2:03:00 PM,62.3
4,Specimen4,4,D8,No vit.min_C(1),10/9/2022__2:03:00 PM,74.1
5,Specimen5,5,A1,Control_A,10/10/2022__4:17:00 PM,40579
5,Specimen5,5,A2,pH6_A,10/10/2022__4:17:00 PM,37471
5,Specimen5,5,A3,pH7.4_A,10/10/2022__4:17:00 PM,28614
5,Specimen5,5,A4,15C_A,10/10/2022__4:17:00 PM,38099
5,Specimen5,5,A5,30C_A,10/10/2022__4:17:00 PM,42639
5,Specimen5,5,A6,High Iron_A,10/10/2022__4:17:00 PM,38817
5,Specimen5,5,A7,Stagnant_A,10/10/2022__4:17:00 PM,10713
5,Specimen5,5,A8,No vit.min_A,10/10/2022__4:17:00 PM,27353
5,Specimen5,5,B1,Control_B,10/10/2022__4:17:00 PM,38722
5,Specimen5,5,B2,pH6_B,10/10/2022__4:17:00 PM,35495
5,Specimen5,5,B3,pH7.4_B,10/10/2022__4:17:00 PM,27789
5,Specimen5,5,B4,15C_B,10/10/2022__4:17:00 PM,39565
5,Specimen5,5,B5,30C_B,10/10/2022__4:17:00 PM,41964
5,Specimen5,5,B6,High Iron_B,10/10/2022__4:17:00 PM,34101
5,Specimen5,5,B7,Stagnant_B,10/10/2022__4:17:00 PM,16944
5,Specimen5,5,B8,No vit.min_B,10/10/2022__4:17:00 PM,27474
5,Specimen5,5,C1,Control_C,10/10/2022__4:17:00 PM,44173
5,Specimen5,5,C2,pH6_C,10/10/2022__4:17:00 PM,36453
5,Specimen5,5,C3,pH7.4_C,10/10/2022__4:17:00 PM,28763
5,Specimen5,5,C4,15C_C,10/10/2022__4:17:00 PM,43364
5,Specimen5,5,C5,30C_C,10/10/2022__4:17:00 PM,42598
5,Specimen5,5,C6,High Iron_C,10/10/2022__4:17:00 PM,41169
5,Specimen5,5,C7,Stagnant_C,10/10/2022__4:17:00 PM,13197
5,Specimen5,5,C8,No vit.min_C,10/10/2022__4:17:00 PM,31748
5,Specimen5,5,D1,Control_C(1),10/10/2022__4:17:00 PM,359
5,Specimen5,5,D2,pH6_C(1),10/10/2022__4:17:00 PM,117
5,Specimen5,5,D3,pH7.4_C(1),10/10/2022__4:17:00 PM,70.8
5,Specimen5,5,D4,15C_C(1),10/10/2022__4:17:00 PM,69.1
5,Specimen5,5,D5,30C_C(1),10/10/2022__4:17:00 PM,58.5
5,Specimen5,5,D6,High Iron_C(1),10/10/2022__4:17:00 PM,605
5,Specimen5,5,D7,Stagnant_C(1),10/10/2022__4:17:00 PM,46.9
5,Specimen5,5,D8,No vit.min_C(1),10/10/2022__4:17:00 PM,694
6,Specimen6,6,A1,Control_A,10/11/2022__6:14:00 PM,39667
6,Specimen6,6,A2,pH6_A,10/11/2022__6:14:00 PM,37450
6,Specimen6,6,A3,pH7.4_A,10/11/2022__6:14:00 PM,28864
6,Specimen6,6,A4,15C_A,10/11/2022__6:14:00 PM,42775
6,Specimen6,6,A5,30C_A,10/11/2022__6:14:00 PM,42575
6,Specimen6,6,A6,High Iron_A,10/11/2022__6:14:00 PM,41741
6,Specimen6,6,A7,Stagnant_A,10/11/2022__6:14:00 PM,12161
6,Specimen6,6,A8,No vit.min_A,10/11/2022__6:14:00 PM,24189
6,Specimen6,6,B1,Control_B,10/11/2022__6:14:00 PM,40564
6,Specimen6,6,B2,pH6_B,10/11/2022__6:14:00 PM,38618
6,Specimen6,6,B3,pH7.4_B,10/11/2022__6:14:00 PM,29411
6,Specimen6,6,B4,15C_B,10/11/2022__6:14:00 PM,42533
6,Specimen6,6,B5,30C_B,10/11/2022__6:14:00 PM,42262
6,Specimen6,6,B6,High Iron_B,10/11/2022__6:14:00 PM,43296
6,Specimen6,6,B7,Stagnant_B,10/11/2022__6:14:00 PM,11762
6,Specimen6,6,B8,No vit.min_B,10/11/2022__6:14:00 PM,26111
6,Specimen6,6,C1,Control_C,10/11/2022__6:14:00 PM,41864
6,Specimen6,6,C2,pH6_C,10/11/2022__6:14:00 PM,37849
6,Specimen6,6,C3,pH7.4_C,10/11/2022__6:14:00 PM,26401
6,Specimen6,6,C4,15C_C,10/11/2022__6:14:00 PM,40473
6,Specimen6,6,C5,30C_C,10/11/2022__6:14:00 PM,39761
6,Specimen6,6,C6,High Iron_C,10/11/2022__6:14:00 PM,51058
6,Specimen6,6,C7,Stagnant_C,10/11/2022__6:14:00 PM,11222
6,Specimen6,6,C8,No vit.min_C,10/11/2022__6:14:00 PM,33775
6,Specimen6,6,D1,Control_C(1),10/11/2022__6:14:00 PM,121
6,Specimen6,6,D2,pH6_C(1),10/11/2022__6:14:00 PM,109
6,Specimen6,6,D3,pH7.4_C(1),10/11/2022__6:14:00 PM,31.5
6,Specimen6,6,D4,15C_C(1),10/11/2022__6:14:00 PM,64.2
6,Specimen6,6,D5,30C_C(1),10/11/2022__6:14:00 PM,37
6,Specimen6,6,D6,High Iron_C(1),10/11/2022__6:14:00 PM,663
6,Specimen6,6,D7,Stagnant_C(1),10/11/2022__6:14:00 PM,39.6
6,Specimen6,6,D8,No vit.min_C(1),10/11/2022__6:14:00 PM,34.5
7,Specimen7,7,A1,Control_A,10/12/2022__4:21:00 PM,37859
7,Specimen7,7,A2,pH6_A,10/12/2022__4:21:00 PM,37248
7,Specimen7,7,A3,pH7.4_A,10/12/2022__4:21:00 PM,28109
7,Specimen7,7,A4,15C_A,10/12/2022__4:21:00 PM,40548
7,Specimen7,7,A5,30C_A,10/12/2022__4:21:00 PM,40770
7,Specimen7,7,A6,High Iron_A,10/12/2022__4:21:00 PM,40361
7,Specimen7,7,A7,Stagnant_A,10/12/2022__4:21:00 PM,12077
7,Specimen7,7,A8,No vit.min_A,10/12/2022__4:21:00 PM,24315
7,Specimen7,7,B1,Control_B,10/12/2022__4:21:00 PM,38440
7,Specimen7,7,B2,pH6_B,10/12/2022__4:21:00 PM,37270
7,Specimen7,7,B3,pH7.4_B,10/12/2022__4:21:00 PM,27198
7,Specimen7,7,B4,15C_B,10/12/2022__4:21:00 PM,40097
7,Specimen7,7,B5,30C_B,10/12/2022__4:21:00 PM,41435
7,Specimen7,7,B6,High Iron_B,10/12/2022__4:21:00 PM,41887
7,Specimen7,7,B7,Stagnant_B,10/12/2022__4:21:00 PM,11846
7,Specimen7,7,B8,No vit.min_B,10/12/2022__4:21:00 PM,23952
7,Specimen7,7,C1,Control_C,10/12/2022__4:21:00 PM,41132
7,Specimen7,7,C2,pH6_C,10/12/2022__4:21:00 PM,36933
7,Specimen7,7,C3,pH7.4_C,10/12/2022__4:21:00 PM,25881
7,Specimen7,7,C4,15C_C,10/12/2022__4:21:00 PM,40251
7,Specimen7,7,C5,30C_C,10/12/2022__4:21:00 PM,43181
7,Specimen7,7,C6,High Iron_C,10/12/2022__4:21:00 PM,42440
7,Specimen7,7,C7,Stagnant_C,10/12/2022__4:21:00 PM,19432
7,Specimen7,7,C8,No vit.min_C,10/12/2022__4:21:00 PM,33248
7,Specimen7,7,D1,Control_C(1),10/12/2022__4:21:00 PM,172
7,Specimen7,7,D2,pH6_C(1),10/12/2022__4:21:00 PM,88.4
7,Specimen7,7,D3,pH7.4_C(1),10/12/2022__4:21:00 PM,56.3
7,Specimen7,7,D4,15C_C(1),10/12/2022__4:21:00 PM,65.3
7,Specimen7,7,D5,30C_C(1),10/12/2022__4:21:00 PM,70.2
7,Specimen7,7,D6,High Iron_C(1),10/12/2022__4:21:00 PM,365
7,Specimen7,7,D7,Stagnant_C(1),10/12/2022__4:21:00 PM,40.9
7,Specimen7,7,D8,No vit.min_C(1),10/12/2022__4:21:00 PM,81
8,Specimen8,8,A1,Control_A,10/13/2022__4:11:00 PM,34250
8,Specimen8,8,A2,pH6_A,10/13/2022__4:11:00 PM,34132
8,Specimen8,8,A3,pH7.4_A,10/13/2022__4:11:00 PM,240
8,Specimen8,8,A4,15C_A,10/13/2022__4:11:00 PM,39166
8,Specimen8,8,A5,30C_A,10/13/2022__4:11:00 PM,38331
8,Specimen8,8,A6,High Iron_A,10/13/2022__4:11:00 PM,35772
8,Specimen8,8,A7,Stagnant_A,10/13/2022__4:11:00 PM,17870
8,Specimen8,8,A8,No vit.min_A,10/13/2022__4:11:00 PM,19995
8,Specimen8,8,B1,Control_B,10/13/2022__4:11:00 PM,37147
8,Specimen8,8,B2,pH6_B,10/13/2022__4:11:00 PM,37747
8,Specimen8,8,B3,pH7.4_B,10/13/2022__4:11:00 PM,303
8,Specimen8,8,B4,15C_B,10/13/2022__4:11:00 PM,39112
8,Specimen8,8,B5,30C_B,10/13/2022__4:11:00 PM,39789
8,Specimen8,8,B6,High Iron_B,10/13/2022__4:11:00 PM,40696
8,Specimen8,8,B7,Stagnant_B,10/13/2022__4:11:00 PM,18061
8,Specimen8,8,B8,No vit.min_B,10/13/2022__4:11:00 PM,21723
8,Specimen8,8,C1,Control_C,10/13/2022__4:11:00 PM,38753
8,Specimen8,8,C2,pH6_C,10/13/2022__4:11:00 PM,36748
8,Specimen8,8,C3,pH7.4_C,10/13/2022__4:11:00 PM,321
8,Specimen8,8,C4,15C_C,10/13/2022__4:11:00 PM,38242
8,Specimen8,8,C5,30C_C,10/13/2022__4:11:00 PM,38452
8,Specimen8,8,C6,High Iron_C,10/13/2022__4:11:00 PM,37091
8,Specimen8,8,C7,Stagnant_C,10/13/2022__4:11:00 PM,14348
8,Specimen8,8,C8,No vit.min_C,10/13/2022__4:11:00 PM,24633
8,Specimen8,8,D1,Control_C(1),10/13/2022__4:11:00 PM,153
8,Specimen8,8,D2,pH6_C(1),10/13/2022__4:11:00 PM,75.5
8,Specimen8,8,D3,pH7.4_C(1),10/13/2022__4:11:00 PM,52.6
8,Specimen8,8,D4,15C_C(1),10/13/2022__4:11:00 PM,51.9
8,Specimen8,8,D5,30C_C(1),10/13/2022__4:11:00 PM,400
8,Specimen8,8,D6,High Iron_C(1),10/13/2022__4:11:00 PM,729
8,Specimen8,8,D7,Stagnant_C(1),10/13/2022__4:11:00 PM,32.8
8,Specimen8,8,D8,No vit.min_C(1),10/13/2022__4:11:00 PM,53.9